epoch,PSNR,SSIM,MSE
0,46.6817,0.8703,0.000022
1,56.1560,0.9773,0.000003
0,28.8122,0.8644,85.9154
1,28.2898,0.8559,96.6769
2,29.1272,0.8952,80.5040
3,28.9127,0.8776,84.1919
4,29.3996,0.8971,75.6529
5,29.0287,0.8858,81.9805
6,29.5626,0.8865,73.2586
7,28.4845,0.8657,92.4783
8,28.9911,0.8729,82.8374
9,29.2267,0.8954,78.5321
10,29.3990,0.8867,75.8385
11,29.7343,0.9052,70.6095
12,29.3164,0.9002,77.2700
13,29.5277,0.8911,73.7641
14,29.6469,0.9046,71.6663
15,29.2090,0.8810,78.8068
16,29.4724,0.9040,74.5845
17,29.1033,0.8974,80.8365
18,29.3680,0.8971,76.2939
19,29.2492,0.8793,78.4714
20,29.5575,0.8991,73.1905
21,29.6176,0.8814,72.1559
22,29.5258,0.8998,73.7754
23,29.5666,0.8807,73.0463
24,29.5823,0.8998,72.7197
25,29.2336,0.8683,78.4989
26,29.4784,0.8839,74.2024
27,29.6338,0.9008,72.3929
28,29.3845,0.8951,75.8465
29,29.2992,0.8773,77.2364
30,29.3772,0.8853,76.1048
31,29.7072,0.8965,70.8770
32,29.3122,0.8491,77.4196
33,29.3684,0.8879,76.2306
34,29.5977,0.8858,72.7530
35,29.3771,0.8624,76.2252
36,29.1800,0.8794,79.3581
37,29.3107,0.8950,77.5963
38,29.9582,0.9061,67.6099
39,29.5394,0.8882,73.3545
40,29.8723,0.9122,68.7405
41,29.4184,0.8860,75.5654
42,29.2296,0.8555,78.7387
43,29.8986,0.9066,68.2050
44,29.5055,0.8902,73.8621
45,29.4047,0.9042,75.7375
46,29.8375,0.9127,69.3495
47,29.3171,0.8860,76.9877
48,29.5909,0.8962,73.0437
49,29.7292,0.8922,70.3610

